,name,artist,album,duration_sec,popularity,release_date,album_image_url,artist_image_url,genres,track_id,genre_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
107,One Time,Justin Bieber,My World,215.866,71,2009-01-01,https://i.scdn.co/image/ab67616d0000b2737c3bb9f74a98f60bdda6c9a7,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,"canadian pop, pop",6eDApnV9Jdb1nYahOlbbUh,2,canadian pop,pop,,,,,
108,21 Questions,50 Cent,Get Rich Or Die Tryin',224.44,76,2003-02-06,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",70FCugJxa7XW04Np6iYJdI,6,east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,
109,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,220.487,77,2020-05-01,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"canadian hip hop, canadian pop, hip hop, pop rap, rap",4wVOKKEHUJxHCFFNUWDn0B,5,canadian hip hop,canadian pop,hip hop,pop rap,rap,,
110,GRIS,Lil Supa,YEYO,142.439,37,2022-02-22,https://i.scdn.co/image/ab67616d0000b2738883facea6c59cd0ac4fd14a,https://i.scdn.co/image/ab6761610000e5eb6215bab6e478115ac5a2221e,"boom bap espanol, pop venezolano, rap conciencia, trap venezolano, venezuelan hip hop",387f30H5V1JWFHo94RvqE9,5,boom bap espanol,pop venezolano,rap conciencia,trap venezolano,venezuelan hip hop,,
111,Serio,Lil Supa,Serio,64.693,29,2017-02-03,https://i.scdn.co/image/ab67616d0000b273abd78163429ef4cae77b970f,https://i.scdn.co/image/ab6761610000e5eb6215bab6e478115ac5a2221e,"boom bap espanol, pop venezolano, rap conciencia, trap venezolano, venezuelan hip hop",6JlqSgMSdggTQwUB3V5b08,5,boom bap espanol,pop venezolano,rap conciencia,trap venezolano,venezuelan hip hop,,
112,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,227.36,76,2017-04-14,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",6SwRhMLwNqEi6alNPVG00n,4,conscious hip hop,hip hop,rap,west coast rap,,,
113,All Mine,Kanye West,ye,145.506,72,2018-06-01,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",3U21A07gAloCc4P7J8rxcn,3,chicago rap,hip hop,rap,,,,
114,Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),255.053,82,2013-01-01,https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a,https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4,"hip hop, new orleans rap, pop rap, rap, trap",2XHzzp1j4IfTNp1FTn7YFg,5,hip hop,new orleans rap,pop rap,rap,trap,,
115,DUCKWORTH.,Kendrick Lamar,DAMN.,248.613,73,2017-04-14,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",0y9uTzK9cNKSAEHnpeRG8C,4,conscious hip hop,hip hop,rap,west coast rap,,,
116,No More Parties In LA,Kanye West,The Life Of Pablo,374.413,71,2016-06-10,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",0zLClc0emc6qUeV1p5nc99,3,chicago rap,hip hop,rap,,,,
117,Violent Crimes,Kanye West,ye,215.32,81,2018-06-01,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",3s7MCdXyWmwjdcWh7GWXas,3,chicago rap,hip hop,rap,,,,
118,TELEFONO NUEVO,Bad Bunny,nadie sabe lo que va a pasar mañana,354.784,69,2023-10-13,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"reggaeton, trap latino, urbano latino",01ppKlDRCmPpusO3yNrSRY,3,reggaeton,trap latino,urbano latino,,,,
119,MERCEDES CAROTA,Bad Bunny,nadie sabe lo que va a pasar mañana,202.635,69,2023-10-13,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"reggaeton, trap latino, urbano latino",3TYOH7ta0101NYssoH5GlU,3,reggaeton,trap latino,urbano latino,,,,
120,WHERE SHE GOES,Bad Bunny,nadie sabe lo que va a pasar mañana,231.704,68,2023-10-13,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,"reggaeton, trap latino, urbano latino",2sTDlCxmuZCTDKKk9f1qus,3,reggaeton,trap latino,urbano latino,,,,
121,Fuck Love,XXXTENTACION,17,146.52,84,2017-08-25,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,"emo rap, miami hip hop, rap",7AQim7LbvFVZJE3O8TYgf2,3,emo rap,miami hip hop,rap,,,,
122,Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',256.24,76,2003-02-06,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",5STdMlrBf6pqWiNE7WqxSi,6,east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,
123,These Walls,Kendrick Lamar,To Pimp A Butterfly,300.973,66,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",7uWVT3UkCAZyANvv0bdyQn,4,conscious hip hop,hip hop,rap,west coast rap,,,
124,Pt. 2,Kanye West,The Life Of Pablo,130.293,63,2016-06-10,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",1Wsbr1d2BouNGk2q92mIj7,3,chicago rap,hip hop,rap,,,,
125,King Kunta,Kendrick Lamar,To Pimp A Butterfly,234.693,73,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",0N3W5peJUQtI4eyR6GJT5O,4,conscious hip hop,hip hop,rap,west coast rap,,,
126,i,Kendrick Lamar,To Pimp A Butterfly,336.013,62,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",3ODXRUPL44f04cCacwiCLC,4,conscious hip hop,hip hop,rap,west coast rap,,,
127,u,Kendrick Lamar,To Pimp A Butterfly,268.493,61,2015-03-16,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",1bxEpNR75Hq3T2oF9AZjt8,4,conscious hip hop,hip hop,rap,west coast rap,,,
